name	basal/tgf-beta	vitc	ra	timepoint	count_file	control_count_file	control_definition_file
TGFb_1_24h	1	0	0	24	wildtype/TGFb_1_24h.tsv	control/TGFb_1_24h_control.tsv	control_definitions.tsv
TGFb_1_38h	1	0	0	38	wildtype/TGFb_1_38h.tsv	control/TGFb_1_38h_control.tsv	control_definitions.tsv
TGFb_1_48h	1	0	0	48	wildtype/TGFb_1_48h.tsv	control/TGFb_1_48h_control.tsv	control_definitions.tsv
TGFb_1_72h	1	0	0	72	wildtype/TGFb_1_72h.tsv	control/TGFb_1_72h_control.tsv	control_definitions.tsv
TGFb_2_24h	1	0	0	72	wildtype/TGFb_2_24h.tsv	control/TGFb_2_24h_control.tsv	control_definitions.tsv
TGFb_2_38h	1	0	0	38	wildtype/TGFb_2_38h.tsv	control/TGFb_2_38h_control.tsv	control_definitions.tsv
TGFb_2_48h	1	0	0	48	wildtype/TGFb_2_48h.tsv	control/TGFb_2_48h_control.tsv	control_definitions.tsv
TGFb_2_72h	1	0	0	72	wildtype/TGFb_2_72h.tsv	control/TGFb_2_72h_control.tsv	control_definitions.tsv
TGFb_vc_1_24h	1	1	0	24	wildtype/TGFb_vc_1_24h.tsv	control/TGFb_vc_1_24h_control.tsv	control_definitions.tsv
TGFb_vc_1_38h	1	1	0	38	wildtype/TGFb_vc_1_38h.tsv	control/TGFb_vc_1_38h_control.tsv	control_definitions.tsv
TGFb_vc_1_48h	1	1	0	48	wildtype/TGFb_vc_1_48h.tsv	control/TGFb_vc_1_48h_control.tsv	control_definitions.tsv
TGFb_vc_1_72h	1	1	0	72	wildtype/TGFb_vc_1_72h.tsv	control/TGFb_vc_1_72h_control.tsv	control_definitions.tsv
TGFb+vc_2_24h	1	1	0	24	wildtype/TGFb+vc_2_24h.tsv	control/TGFb+vc_2_24h_control.tsv	control_definitions.tsv
TGFb+vc_2_38h	1	1	0	38	wildtype/TGFb+vc_2_38h.tsv	control/TGFb+vc_2_38h_control.tsv	control_definitions.tsv
TGFb+vc_2_48h	1	1	0	48	wildtype/TGFb+vc_2_48h.tsv	control/TGFb+vc_2_48h_control.tsv	control_definitions.tsv
TGFb+vc_2_72h	1	1	0	72	wildtype/TGFb+vc_2_72h.tsv	control/TGFb+vc_2_72h_control.tsv	control_definitions.tsv
TGFb_16h	1	0	0	16	wildtype/TGFb_16h.tsv	control/TGFb_16h_control.tsv	control_definitions.tsv
TGFb_24h	1	0	0	24	wildtype/TGFb_24h.tsv	control/TGFb_24h_control.tsv	control_definitions.tsv
TGFb_vc_16h	1	1	0	16	wildtype/TGFb_vc_16h.tsv	control/TGFb_vc_16h_control.tsv	control_definitions.tsv
TGFb_vc_24h	1	1	0	24	wildtype/TGFb_vc_24h.tsv	control/TGFb_vc_24h_control.tsv	control_definitions.tsv
TGFb_ra_16h	1	0	1	16	wildtype/TGFb_ra_16h.tsv	control/TGFb_ra_16h_control.tsv	control_definitions.tsv
TGFb_ra_24h	1	0	1	24	wildtype/TGFb_ra_24h.tsv	control/TGFb_ra_24h_control.tsv	control_definitions.tsv
TGFb_ra_vc_16h	1	1	1	16	wildtype/TGFb_ra_vc_16h.tsv	control/TGFb_ra_vc_16h_control.tsv	control_definitions.tsv
TGFb_ra_vc_24h	1	1	1	24	wildtype/TGFb_ra_vc_24h.tsv	control/TGFb_ra_vc_24h_control.tsv	control_definitions.tsv
