chromosome	position	control_type	bs_c	bs_total	oxbs_c	oxbs_total
Lambda_ctrl	22924	C	14	1360	10	3690
Lambda_ctrl	22928	C	18	1363	14	3673
Lambda_ctrl	22933	C	20	1365	18	3693
Lambda_ctrl	22938	C	16	1364	20	3695
Lambda_ctrl	22939	C	15	1365	12	3695
Lambda_ctrl	22944	C	16	1365	12	3698
Lambda_ctrl	22946	C	15	1365	14	3698
Lambda_ctrl	22953	C	16	1365	14	3699
Lambda_ctrl	22954	C	13	1365	5	3699
Lambda_ctrl	22963	C	27	1362	27	3697
Lambda_ctrl	22964	C	14	1365	9	3701
Lambda_ctrl	22970	C	18	1364	29	3691
Lambda_ctrl	22985	C	24	1375	22	3710
Lambda_ctrl	22987	C	17	1381	11	3710
Lambda_ctrl	22991	C	14	1381	8	3704
Lambda_ctrl	22994	C	18	1381	22	3708
Lambda_ctrl	22997	C	17	1374	23	3687
Lambda_ctrl	23002	C	14	1375	17	3687
Lambda_ctrl	23004	C	18	1375	24	3684
Lambda_ctrl	23005	C	14	1374	12	3684
Lambda_ctrl	23021	C	22	1371	33	3677
Lambda_ctrl	23024	C	21	1370	21	3676
Lambda_ctrl	23030	C	16	1368	21	3673
Lambda_ctrl	23033	C	17	1368	9	3669
Lambda_ctrl	23054	C	11	1358	8	3661
Lambda_ctrl	23075	C	14	1286	5	3533
Lambda_ctrl	23789	5hmC	23008	24117	193	1591
Lambda_ctrl	23794	5hmC	23891	25144	222	1976
Lambda_ctrl	23798	5hmC	23811	25449	269	2012
Lambda_ctrl	23817	5hmC	24028	25550	261	2032
Lambda_ctrl	23823	5hmC	23989	25563	274	2035
Lambda_ctrl	23827	5hmC	24039	25580	249	2035
Lambda_ctrl	23837	5hmC	24067	25592	263	2039
Lambda_ctrl	23843	5hmC	24148	25610	283	2039
Lambda_ctrl	23855	5hmC	24022	25609	271	2041
Lambda_ctrl	23860	5hmC	23959	25607	291	2043
Lambda_ctrl	23863	5hmC	24086	25621	293	2044
Lambda_ctrl	23871	5hmC	24073	25614	268	2042
Lambda_ctrl	23877	5hmC	23943	25614	274	2044
Lambda_ctrl	23885	5hmC	23617	25618	238	2046
Lambda_ctrl	23893	5hmC	23690	25542	249	1984
Lambda_ctrl	23896	5hmC	23743	25611	229	2042
Lambda_ctrl	23900	5hmC	20952	25603	233	2038
Lambda_ctrl	23901	5hmC	21923	25585	235	2033
Lambda_ctrl	23902	5hmC	22813	25602	265	2036
Lambda_ctrl	23916	5hmC	24026	25573	271	2011
Lambda_ctrl	23923	5hmC	24508	25573	261	2006
Lambda_ctrl	23925	5hmC	24486	25558	213	2012
Lambda_ctrl	23927	5hmC	23982	25563	250	2009
Lambda_ctrl	23928	5hmC	24561	25567	269	2010
Lambda_ctrl	23943	5hmC	24092	25527	259	1993
Lambda_ctrl	23947	5hmC	23888	25471	223	1974
Lambda_ctrl	23954	5hmC	22364	24265	225	1705
Lambda_ctrl	47359	5mC	42160	43242	61321	62969
Lambda_ctrl	47367	5mC	43463	44529	63708	65362
Lambda_ctrl	47377	5mC	43428	44584	63639	65439
Lambda_ctrl	47387	5mC	43652	44606	63983	65460
Lambda_ctrl	47392	5mC	43343	44613	63612	65475
Lambda_ctrl	47394	5mC	43540	44631	63913	65498
Lambda_ctrl	47398	5mC	43350	44645	63644	65517
Lambda_ctrl	47404	5mC	43403	44650	63647	65517
Lambda_ctrl	47409	5mC	43342	44655	63604	65527
Lambda_ctrl	47411	5mC	43469	44654	63853	65538
Lambda_ctrl	47413	5mC	43400	44663	63634	65561
Lambda_ctrl	47419	5mC	43346	44659	63539	65549
Lambda_ctrl	47428	5mC	43404	44672	63705	65589
Lambda_ctrl	47440	5mC	43481	44669	63821	65604
Lambda_ctrl	47443	5mC	43452	44685	63680	65603
Lambda_ctrl	47444	5mC	43228	44672	63398	65608
Lambda_ctrl	47449	5mC	43513	44665	63940	65585
Lambda_ctrl	47450	5mC	43574	44686	63981	65613
Lambda_ctrl	47461	5mC	43580	44665	64026	65596
Lambda_ctrl	47462	5mC	42911	44664	62907	65578
Lambda_ctrl	47465	5mC	43264	44678	63528	65589
Lambda_ctrl	47466	5mC	43312	44662	63573	65584
Lambda_ctrl	47475	5mC	43334	44655	63649	65568
Lambda_ctrl	47481	5mC	43000	44651	63265	65563
Lambda_ctrl	47483	5mC	43188	44637	63522	65536
Lambda_ctrl	47492	5mC	43535	44637	64019	65549
Lambda_ctrl	47498	5mC	43439	44642	63700	65544
Lambda_ctrl	47507	5mC	43376	44622	63756	65521
Lambda_ctrl	47512	5mC	43502	44598	63989	65495
Lambda_ctrl	47516	5mC	43365	44567	63706	65463
Lambda_ctrl	47521	5mC	43178	44539	63435	65416
Lambda_ctrl	47525	5mC	43358	44447	63644	65301
Lambda_ctrl	47526	5mC	43239	44421	63420	65294
Lambda_ctrl	47528	5mC	42952	44247	63159	65064
Lambda_ctrl	47529	5mC	42681	44026	62713	64664
