chromosome	position	control_type	bs_c	bs_total	oxbs_c	oxbs_total
Lambda_ctrl	22924	C	2	310	2	563
Lambda_ctrl	22928	C	3	309	0	564
Lambda_ctrl	22933	C	4	310	0	566
Lambda_ctrl	22938	C	3	310	3	568
Lambda_ctrl	22939	C	3	310	0	568
Lambda_ctrl	22944	C	4	310	1	567
Lambda_ctrl	22946	C	4	310	1	568
Lambda_ctrl	22953	C	4	310	1	568
Lambda_ctrl	22954	C	3	310	2	568
Lambda_ctrl	22963	C	5	311	2	568
Lambda_ctrl	22964	C	5	311	0	568
Lambda_ctrl	22970	C	3	311	3	568
Lambda_ctrl	22985	C	3	311	2	570
Lambda_ctrl	22987	C	3	312	1	570
Lambda_ctrl	22991	C	2	312	0	571
Lambda_ctrl	22994	C	4	312	3	571
Lambda_ctrl	22997	C	4	310	0	570
Lambda_ctrl	23002	C	3	310	0	570
Lambda_ctrl	23004	C	4	309	2	570
Lambda_ctrl	23005	C	4	308	2	570
Lambda_ctrl	23021	C	3	308	2	567
Lambda_ctrl	23024	C	3	308	1	567
Lambda_ctrl	23030	C	5	307	4	567
Lambda_ctrl	23033	C	5	307	0	567
Lambda_ctrl	23054	C	3	306	0	567
Lambda_ctrl	23075	C	3	290	0	552
Lambda_ctrl	23789	5hmC	3839	4002	70	703
Lambda_ctrl	23794	5hmC	3972	4165	77	761
Lambda_ctrl	23798	5hmC	3931	4202	80	770
Lambda_ctrl	23817	5hmC	3951	4221	83	774
Lambda_ctrl	23823	5hmC	3952	4224	83	775
Lambda_ctrl	23827	5hmC	3991	4226	77	775
Lambda_ctrl	23837	5hmC	3992	4227	83	776
Lambda_ctrl	23843	5hmC	3999	4229	76	778
Lambda_ctrl	23855	5hmC	3984	4229	87	778
Lambda_ctrl	23860	5hmC	3972	4231	85	778
Lambda_ctrl	23863	5hmC	3987	4231	92	778
Lambda_ctrl	23871	5hmC	3988	4232	75	778
Lambda_ctrl	23877	5hmC	3975	4232	90	778
Lambda_ctrl	23885	5hmC	3910	4229	74	776
Lambda_ctrl	23893	5hmC	3925	4225	74	753
Lambda_ctrl	23896	5hmC	3905	4227	66	776
Lambda_ctrl	23900	5hmC	3478	4227	81	774
Lambda_ctrl	23901	5hmC	3677	4227	70	774
Lambda_ctrl	23902	5hmC	3811	4227	83	775
Lambda_ctrl	23916	5hmC	3984	4222	94	757
Lambda_ctrl	23923	5hmC	4059	4218	80	754
Lambda_ctrl	23925	5hmC	4046	4219	79	756
Lambda_ctrl	23927	5hmC	3966	4215	78	756
Lambda_ctrl	23928	5hmC	4060	4220	83	756
Lambda_ctrl	23943	5hmC	3970	4209	85	752
Lambda_ctrl	23947	5hmC	3928	4195	68	745
Lambda_ctrl	23954	5hmC	3733	4058	72	660
Lambda_ctrl	47359	5mC	5413	5526	4746	4833
Lambda_ctrl	47367	5mC	5524	5661	4812	4936
Lambda_ctrl	47377	5mC	5514	5661	4810	4936
Lambda_ctrl	47387	5mC	5561	5663	4838	4939
Lambda_ctrl	47392	5mC	5533	5665	4826	4941
Lambda_ctrl	47394	5mC	5540	5665	4799	4941
Lambda_ctrl	47398	5mC	5511	5667	4794	4944
Lambda_ctrl	47404	5mC	5528	5666	4817	4945
Lambda_ctrl	47409	5mC	5498	5667	4798	4945
Lambda_ctrl	47411	5mC	5530	5668	4825	4946
Lambda_ctrl	47413	5mC	5545	5670	4825	4947
Lambda_ctrl	47419	5mC	5540	5672	4813	4945
Lambda_ctrl	47428	5mC	5538	5670	4824	4951
Lambda_ctrl	47440	5mC	5560	5671	4857	4954
Lambda_ctrl	47443	5mC	5544	5671	4839	4956
Lambda_ctrl	47444	5mC	5518	5669	4817	4954
Lambda_ctrl	47449	5mC	5541	5669	4847	4951
Lambda_ctrl	47450	5mC	5542	5666	4868	4956
Lambda_ctrl	47461	5mC	5538	5665	4851	4956
Lambda_ctrl	47462	5mC	5519	5665	4831	4955
Lambda_ctrl	47465	5mC	5507	5664	4829	4954
Lambda_ctrl	47466	5mC	5548	5664	4825	4953
Lambda_ctrl	47475	5mC	5539	5660	4832	4953
Lambda_ctrl	47481	5mC	5497	5658	4819	4954
Lambda_ctrl	47483	5mC	5520	5654	4825	4952
Lambda_ctrl	47492	5mC	5552	5657	4826	4955
Lambda_ctrl	47498	5mC	5524	5654	4824	4952
Lambda_ctrl	47507	5mC	5523	5649	4810	4947
Lambda_ctrl	47512	5mC	5531	5652	4822	4949
Lambda_ctrl	47516	5mC	5496	5645	4837	4948
Lambda_ctrl	47521	5mC	5481	5649	4800	4948
Lambda_ctrl	47525	5mC	5514	5638	4823	4940
Lambda_ctrl	47526	5mC	5476	5635	4810	4941
Lambda_ctrl	47528	5mC	5459	5602	4777	4927
Lambda_ctrl	47529	5mC	5405	5566	4771	4912
