chromosome	position	control_type	bs_c	bs_total	oxbs_c	oxbs_total
Lambda_ctrl	22924	C	23	1970	8	3860
Lambda_ctrl	22928	C	22	1961	17	3844
Lambda_ctrl	22933	C	25	1972	18	3865
Lambda_ctrl	22938	C	21	1974	17	3866
Lambda_ctrl	22939	C	23	1974	4	3869
Lambda_ctrl	22944	C	21	1975	13	3870
Lambda_ctrl	22946	C	20	1975	14	3871
Lambda_ctrl	22953	C	19	1974	12	3871
Lambda_ctrl	22954	C	17	1975	4	3872
Lambda_ctrl	22963	C	30	1975	22	3871
Lambda_ctrl	22964	C	22	1975	9	3876
Lambda_ctrl	22970	C	28	1972	29	3870
Lambda_ctrl	22985	C	31	1996	28	3886
Lambda_ctrl	22987	C	24	2000	20	3887
Lambda_ctrl	22991	C	18	1998	7	3882
Lambda_ctrl	22994	C	29	1998	16	3885
Lambda_ctrl	22997	C	31	1989	20	3856
Lambda_ctrl	23002	C	20	1989	11	3857
Lambda_ctrl	23004	C	29	1990	21	3853
Lambda_ctrl	23005	C	19	1990	8	3852
Lambda_ctrl	23021	C	35	1987	35	3837
Lambda_ctrl	23024	C	28	1987	24	3837
Lambda_ctrl	23030	C	29	1987	17	3832
Lambda_ctrl	23033	C	24	1986	7	3833
Lambda_ctrl	23054	C	20	1974	5	3819
Lambda_ctrl	23075	C	17	1892	4	3714
Lambda_ctrl	23789	5hmC	26767	28132	180	1857
Lambda_ctrl	23794	5hmC	27967	29345	184	2196
Lambda_ctrl	23798	5hmC	27786	29696	232	2228
Lambda_ctrl	23817	5hmC	27962	29831	246	2257
Lambda_ctrl	23823	5hmC	27981	29837	230	2264
Lambda_ctrl	23827	5hmC	27858	29853	214	2266
Lambda_ctrl	23837	5hmC	27998	29855	288	2267
Lambda_ctrl	23843	5hmC	28090	29888	233	2272
Lambda_ctrl	23855	5hmC	28110	29901	251	2273
Lambda_ctrl	23860	5hmC	28036	29894	240	2272
Lambda_ctrl	23863	5hmC	28172	29902	272	2276
Lambda_ctrl	23871	5hmC	28055	29910	267	2278
Lambda_ctrl	23877	5hmC	27932	29907	231	2279
Lambda_ctrl	23885	5hmC	27470	29894	218	2279
Lambda_ctrl	23893	5hmC	27679	29842	213	2209
Lambda_ctrl	23896	5hmC	27720	29896	191	2276
Lambda_ctrl	23900	5hmC	24633	29901	213	2272
Lambda_ctrl	23901	5hmC	25728	29884	205	2265
Lambda_ctrl	23902	5hmC	26499	29892	256	2272
Lambda_ctrl	23916	5hmC	27984	29872	268	2238
Lambda_ctrl	23923	5hmC	28657	29861	214	2235
Lambda_ctrl	23925	5hmC	28592	29852	200	2236
Lambda_ctrl	23927	5hmC	27986	29849	229	2238
Lambda_ctrl	23928	5hmC	28655	29847	237	2239
Lambda_ctrl	23943	5hmC	28088	29809	252	2232
Lambda_ctrl	23947	5hmC	27829	29734	204	2222
Lambda_ctrl	23954	5hmC	26241	28537	184	2031
Lambda_ctrl	47359	5mC	41917	42983	44690	45828
Lambda_ctrl	47367	5mC	43135	44234	46305	47415
Lambda_ctrl	47377	5mC	43099	44289	46205	47471
Lambda_ctrl	47387	5mC	43276	44314	46388	47490
Lambda_ctrl	47392	5mC	43053	44320	46071	47492
Lambda_ctrl	47394	5mC	43141	44339	46348	47508
Lambda_ctrl	47398	5mC	42986	44354	46081	47525
Lambda_ctrl	47404	5mC	43010	44358	46142	47528
Lambda_ctrl	47409	5mC	43001	44356	46120	47532
Lambda_ctrl	47411	5mC	43032	44358	46244	47540
Lambda_ctrl	47413	5mC	43019	44361	46121	47545
Lambda_ctrl	47419	5mC	43020	44366	46135	47540
Lambda_ctrl	47428	5mC	42994	44366	46105	47559
Lambda_ctrl	47440	5mC	43132	44376	46301	47566
Lambda_ctrl	47443	5mC	43075	44377	46224	47567
Lambda_ctrl	47444	5mC	42865	44380	46008	47567
Lambda_ctrl	47449	5mC	43157	44372	46323	47559
Lambda_ctrl	47450	5mC	43290	44388	46456	47578
Lambda_ctrl	47461	5mC	43257	44372	46392	47561
Lambda_ctrl	47462	5mC	42605	44362	45699	47556
Lambda_ctrl	47465	5mC	42859	44367	46025	47565
Lambda_ctrl	47466	5mC	42995	44372	46127	47554
Lambda_ctrl	47475	5mC	43032	44353	46216	47556
Lambda_ctrl	47481	5mC	42646	44346	45757	47544
Lambda_ctrl	47483	5mC	42903	44340	45983	47526
Lambda_ctrl	47492	5mC	43210	44336	46427	47535
Lambda_ctrl	47498	5mC	43071	44340	46286	47541
Lambda_ctrl	47507	5mC	43047	44318	46201	47525
Lambda_ctrl	47512	5mC	43161	44293	46358	47504
Lambda_ctrl	47516	5mC	43046	44278	46182	47484
Lambda_ctrl	47521	5mC	42869	44227	45982	47441
Lambda_ctrl	47525	5mC	43041	44116	46156	47359
Lambda_ctrl	47526	5mC	42849	44092	46127	47338
Lambda_ctrl	47528	5mC	42685	43887	45798	47159
Lambda_ctrl	47529	5mC	42318	43610	45503	46847
