chromosome	position	control_type	bs_c	bs_total	oxbs_c	oxbs_total
Lambda_ctrl	22924	C	22	1724	13	3035
Lambda_ctrl	22928	C	20	1718	13	3027
Lambda_ctrl	22933	C	19	1725	18	3036
Lambda_ctrl	22938	C	25	1723	19	3038
Lambda_ctrl	22939	C	17	1726	4	3039
Lambda_ctrl	22944	C	16	1727	7	3038
Lambda_ctrl	22946	C	20	1727	7	3040
Lambda_ctrl	22953	C	19	1727	11	3040
Lambda_ctrl	22954	C	17	1727	2	3040
Lambda_ctrl	22963	C	24	1724	20	3037
Lambda_ctrl	22964	C	21	1727	9	3040
Lambda_ctrl	22970	C	25	1721	21	3034
Lambda_ctrl	22985	C	27	1735	18	3056
Lambda_ctrl	22987	C	23	1737	10	3058
Lambda_ctrl	22991	C	17	1733	9	3052
Lambda_ctrl	22994	C	26	1735	14	3053
Lambda_ctrl	22997	C	25	1726	18	3035
Lambda_ctrl	23002	C	21	1727	15	3036
Lambda_ctrl	23004	C	30	1727	14	3036
Lambda_ctrl	23005	C	21	1727	10	3037
Lambda_ctrl	23021	C	24	1724	34	3027
Lambda_ctrl	23024	C	26	1723	18	3027
Lambda_ctrl	23030	C	23	1720	12	3028
Lambda_ctrl	23033	C	19	1719	6	3028
Lambda_ctrl	23054	C	17	1710	3	3019
Lambda_ctrl	23075	C	14	1654	4	2945
Lambda_ctrl	23789	5hmC	16519	17333	499	4187
Lambda_ctrl	23794	5hmC	17265	18206	519	4437
Lambda_ctrl	23798	5hmC	17290	18474	560	4470
Lambda_ctrl	23817	5hmC	17417	18570	546	4503
Lambda_ctrl	23823	5hmC	17420	18586	602	4502
Lambda_ctrl	23827	5hmC	17356	18595	596	4502
Lambda_ctrl	23837	5hmC	17441	18601	585	4507
Lambda_ctrl	23843	5hmC	17539	18617	584	4508
Lambda_ctrl	23855	5hmC	17511	18622	569	4505
Lambda_ctrl	23860	5hmC	17452	18619	556	4504
Lambda_ctrl	23863	5hmC	17539	18627	559	4507
Lambda_ctrl	23871	5hmC	17490	18622	624	4504
Lambda_ctrl	23877	5hmC	17379	18630	540	4508
Lambda_ctrl	23885	5hmC	17014	18615	485	4508
Lambda_ctrl	23893	5hmC	17168	18524	560	4395
Lambda_ctrl	23896	5hmC	17215	18615	549	4503
Lambda_ctrl	23900	5hmC	15213	18621	544	4497
Lambda_ctrl	23901	5hmC	16004	18615	514	4487
Lambda_ctrl	23902	5hmC	16544	18619	591	4495
Lambda_ctrl	23916	5hmC	17421	18607	570	4439
Lambda_ctrl	23923	5hmC	17893	18601	530	4435
Lambda_ctrl	23925	5hmC	17748	18591	538	4439
Lambda_ctrl	23927	5hmC	17433	18594	575	4439
Lambda_ctrl	23928	5hmC	17836	18595	607	4434
Lambda_ctrl	23943	5hmC	17429	18559	571	4428
Lambda_ctrl	23947	5hmC	17285	18516	487	4412
Lambda_ctrl	23954	5hmC	16348	17830	526	4097
Lambda_ctrl	47359	5mC	44075	45218	28191	28847
Lambda_ctrl	47367	5mC	45202	46380	28968	29669
Lambda_ctrl	47377	5mC	45127	46432	28872	29681
Lambda_ctrl	47387	5mC	45431	46458	29115	29698
Lambda_ctrl	47392	5mC	45144	46469	28841	29696
Lambda_ctrl	47394	5mC	45247	46474	29038	29713
Lambda_ctrl	47398	5mC	45068	46491	28905	29721
Lambda_ctrl	47404	5mC	45147	46494	28896	29722
Lambda_ctrl	47409	5mC	45067	46499	28898	29723
Lambda_ctrl	47411	5mC	45217	46502	28958	29723
Lambda_ctrl	47413	5mC	45104	46505	28937	29735
Lambda_ctrl	47419	5mC	45011	46502	28856	29733
Lambda_ctrl	47428	5mC	45117	46522	28923	29738
Lambda_ctrl	47440	5mC	45190	46521	28923	29742
Lambda_ctrl	47443	5mC	45104	46518	28914	29739
Lambda_ctrl	47444	5mC	44916	46513	28774	29746
Lambda_ctrl	47449	5mC	45346	46512	28984	29735
Lambda_ctrl	47450	5mC	45353	46527	29019	29746
Lambda_ctrl	47461	5mC	45283	46524	28998	29739
Lambda_ctrl	47462	5mC	44622	46499	28621	29731
Lambda_ctrl	47465	5mC	45009	46513	28820	29738
Lambda_ctrl	47466	5mC	44998	46510	28880	29736
Lambda_ctrl	47475	5mC	45078	46504	28918	29735
Lambda_ctrl	47481	5mC	44733	46503	28651	29722
Lambda_ctrl	47483	5mC	44941	46481	28780	29726
Lambda_ctrl	47492	5mC	45351	46503	29069	29730
Lambda_ctrl	47498	5mC	45124	46498	28931	29728
Lambda_ctrl	47507	5mC	45170	46481	28927	29710
Lambda_ctrl	47512	5mC	45363	46459	28996	29695
Lambda_ctrl	47516	5mC	45049	46447	28939	29687
Lambda_ctrl	47521	5mC	44949	46374	28757	29635
Lambda_ctrl	47525	5mC	45048	46283	28753	29534
Lambda_ctrl	47526	5mC	44976	46264	28872	29508
Lambda_ctrl	47528	5mC	44744	46082	28510	29310
Lambda_ctrl	47529	5mC	44558	45868	28309	29054
