chromosome	position	control_type	bs_c	bs_total	oxbs_c	oxbs_total
Lambda_ctrl	22924	C	37	3424	0	425
Lambda_ctrl	22928	C	33	3424	1	426
Lambda_ctrl	22933	C	35	3427	2	427
Lambda_ctrl	22938	C	35	3426	2	427
Lambda_ctrl	22939	C	28	3427	1	428
Lambda_ctrl	22944	C	30	3426	2	428
Lambda_ctrl	22946	C	34	3429	0	428
Lambda_ctrl	22953	C	31	3430	1	428
Lambda_ctrl	22954	C	25	3430	0	428
Lambda_ctrl	22963	C	47	3430	3	428
Lambda_ctrl	22964	C	29	3428	0	428
Lambda_ctrl	22970	C	42	3429	3	428
Lambda_ctrl	22985	C	38	3446	4	428
Lambda_ctrl	22987	C	29	3451	5	431
Lambda_ctrl	22991	C	28	3446	1	430
Lambda_ctrl	22994	C	37	3448	3	429
Lambda_ctrl	22997	C	49	3430	2	419
Lambda_ctrl	23002	C	28	3432	0	418
Lambda_ctrl	23004	C	41	3429	5	419
Lambda_ctrl	23005	C	31	3429	2	418
Lambda_ctrl	23021	C	63	3425	4	412
Lambda_ctrl	23024	C	31	3425	3	412
Lambda_ctrl	23030	C	43	3425	0	412
Lambda_ctrl	23033	C	36	3418	0	412
Lambda_ctrl	23054	C	22	3411	3	408
Lambda_ctrl	23075	C	24	3337	0	392
Lambda_ctrl	23789	5hmC	29382	30925	86	463
Lambda_ctrl	23794	5hmC	30341	32055	91	509
Lambda_ctrl	23798	5hmC	30291	32391	96	512
Lambda_ctrl	23817	5hmC	30435	32508	101	520
Lambda_ctrl	23823	5hmC	30440	32525	112	520
Lambda_ctrl	23827	5hmC	30388	32535	94	519
Lambda_ctrl	23837	5hmC	30458	32537	103	521
Lambda_ctrl	23843	5hmC	30621	32558	110	523
Lambda_ctrl	23855	5hmC	30460	32558	124	525
Lambda_ctrl	23860	5hmC	30614	32561	117	526
Lambda_ctrl	23863	5hmC	30640	32558	96	524
Lambda_ctrl	23871	5hmC	30494	32561	101	526
Lambda_ctrl	23877	5hmC	30333	32557	116	526
Lambda_ctrl	23885	5hmC	29826	32561	104	527
Lambda_ctrl	23893	5hmC	30168	32510	102	518
Lambda_ctrl	23896	5hmC	30036	32555	103	527
Lambda_ctrl	23900	5hmC	26647	32551	99	527
Lambda_ctrl	23901	5hmC	27756	32545	94	525
Lambda_ctrl	23902	5hmC	28923	32555	94	526
Lambda_ctrl	23916	5hmC	30348	32525	107	508
Lambda_ctrl	23923	5hmC	31182	32509	92	505
Lambda_ctrl	23925	5hmC	31004	32501	93	506
Lambda_ctrl	23927	5hmC	30413	32503	102	506
Lambda_ctrl	23928	5hmC	31182	32505	106	506
Lambda_ctrl	23943	5hmC	30492	32444	113	503
Lambda_ctrl	23947	5hmC	30227	32381	86	504
Lambda_ctrl	23954	5hmC	28550	31099	94	476
Lambda_ctrl	47359	5mC	39615	40623	28100	28755
Lambda_ctrl	47367	5mC	40736	41875	29341	30014
Lambda_ctrl	47377	5mC	40756	41929	29320	30052
Lambda_ctrl	47387	5mC	40967	41946	29495	30086
Lambda_ctrl	47392	5mC	40660	41950	29276	30103
Lambda_ctrl	47394	5mC	40908	41966	29483	30116
Lambda_ctrl	47398	5mC	40756	41993	29370	30127
Lambda_ctrl	47404	5mC	40671	42003	29356	30140
Lambda_ctrl	47409	5mC	40647	42002	29287	30155
Lambda_ctrl	47411	5mC	40796	42010	29341	30152
Lambda_ctrl	47413	5mC	40773	42021	29283	30164
Lambda_ctrl	47419	5mC	40664	42011	29303	30157
Lambda_ctrl	47428	5mC	40721	42026	29261	30174
Lambda_ctrl	47440	5mC	40857	42030	29392	30180
Lambda_ctrl	47443	5mC	40777	42036	29337	30184
Lambda_ctrl	47444	5mC	40526	42026	29164	30180
Lambda_ctrl	47449	5mC	40925	42021	29412	30166
Lambda_ctrl	47450	5mC	40988	42032	29488	30191
Lambda_ctrl	47461	5mC	40903	42017	29469	30175
Lambda_ctrl	47462	5mC	40308	42015	29031	30173
Lambda_ctrl	47465	5mC	40672	42022	29234	30181
Lambda_ctrl	47466	5mC	40724	42018	29343	30180
Lambda_ctrl	47475	5mC	40729	42005	29299	30161
Lambda_ctrl	47481	5mC	40380	41992	29093	30152
Lambda_ctrl	47483	5mC	40574	41986	29172	30153
Lambda_ctrl	47492	5mC	40956	41995	29442	30153
Lambda_ctrl	47498	5mC	40785	41987	29372	30150
Lambda_ctrl	47507	5mC	40748	41966	29357	30132
Lambda_ctrl	47512	5mC	40839	41946	29443	30111
Lambda_ctrl	47516	5mC	40751	41925	29243	30099
Lambda_ctrl	47521	5mC	40515	41883	29167	30032
Lambda_ctrl	47525	5mC	40741	41815	29120	29913
Lambda_ctrl	47526	5mC	40673	41793	29185	29885
Lambda_ctrl	47528	5mC	40447	41657	28918	29649
Lambda_ctrl	47529	5mC	40221	41467	28559	29358
