chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	565	2555	308	2889
chrX	7159186	1829	2514	1654	2857
chrX	7159222	4070	5317	3335	5994
chrX	7159235	3680	5325	2743	6002
chrX	7161112	2345	2538	2619	2870
chrX	7161128	2463	2544	2781	2883
chrX	7161162	2422	2595	2767	2957
chrX	7161189	2474	2602	2878	2961
chrX	7161194	2446	2601	2888	2961
chrX	7161243	4632	5095	4895	5549
chrX	7161262	4627	5092	5060	5546
chrX	7161266	4736	5098	5125	5546
chrX	7161274	4556	5101	4534	5550
chrX	7161336	1798	2539	1729	2601
chrX	7161406	1860	2499	1316	2554
