chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	8680	11396	10062	21714
chrX	7159186	10891	11350	18444	21589
chrX	7159222	38930	40980	42113	47207
chrX	7159235	38012	41017	36757	47237
chrX	7161112	19761	20414	26449	27749
chrX	7161128	19943	20481	26513	27834
chrX	7161162	19435	20898	27269	28325
chrX	7161189	20349	20938	27625	28354
chrX	7161194	19855	20935	24728	28362
chrX	7161243	31505	33289	39165	41539
chrX	7161262	31705	33286	40086	41546
chrX	7161266	31506	33295	40088	41543
chrX	7161274	32084	33269	38435	41515
chrX	7161336	10442	11917	10861	13226
chrX	7161406	10610	11622	10007	12984
