chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	1083	1563	850	2736
chrX	7159186	1341	1534	2119	2719
chrX	7159222	4949	5575	3886	4639
chrX	7159235	4831	5588	4354	4641
chrX	7161112	1864	1938	3020	3130
chrX	7161128	1922	1944	3108	3144
chrX	7161162	1948	2013	2965	3200
chrX	7161189	1954	2020	3031	3210
chrX	7161194	1966	2021	3022	3207
chrX	7161243	3483	3773	5844	6327
chrX	7161262	3542	3773	5846	6325
chrX	7161266	3601	3775	5679	6326
chrX	7161274	3603	3770	5561	6320
chrX	7161336	1427	1618	2379	3058
chrX	7161406	1325	1491	1736	2911
