chromosome	position	control_type	bs_c	bs_total	oxbs_c	oxbs_total
Lambda_ctrl	22924	C	3	231	0	386
Lambda_ctrl	22928	C	4	231	3	385
Lambda_ctrl	22933	C	3	232	0	386
Lambda_ctrl	22938	C	4	232	0	386
Lambda_ctrl	22939	C	3	232	1	386
Lambda_ctrl	22944	C	4	232	0	386
Lambda_ctrl	22946	C	4	232	0	386
Lambda_ctrl	22953	C	3	232	2	386
Lambda_ctrl	22954	C	3	232	0	386
Lambda_ctrl	22963	C	5	232	1	386
Lambda_ctrl	22964	C	3	232	0	386
Lambda_ctrl	22970	C	5	232	0	385
Lambda_ctrl	22985	C	4	234	1	388
Lambda_ctrl	22987	C	4	234	1	388
Lambda_ctrl	22991	C	2	233	0	387
Lambda_ctrl	22994	C	4	233	1	387
Lambda_ctrl	22997	C	4	232	1	385
Lambda_ctrl	23002	C	3	231	2	385
Lambda_ctrl	23004	C	3	230	1	385
Lambda_ctrl	23005	C	5	230	0	385
Lambda_ctrl	23021	C	4	229	1	385
Lambda_ctrl	23024	C	4	229	2	385
Lambda_ctrl	23030	C	5	229	1	384
Lambda_ctrl	23033	C	3	229	1	384
Lambda_ctrl	23054	C	3	229	0	381
Lambda_ctrl	23075	C	4	220	0	366
Lambda_ctrl	23789	5hmC	3496	3670	41	440
Lambda_ctrl	23794	5hmC	3609	3826	55	514
Lambda_ctrl	23798	5hmC	3603	3855	58	520
Lambda_ctrl	23817	5hmC	3608	3871	49	523
Lambda_ctrl	23823	5hmC	3626	3876	62	523
Lambda_ctrl	23827	5hmC	3637	3877	55	523
Lambda_ctrl	23837	5hmC	3630	3877	51	523
Lambda_ctrl	23843	5hmC	3651	3879	63	522
Lambda_ctrl	23855	5hmC	3658	3884	63	521
Lambda_ctrl	23860	5hmC	3643	3885	54	521
Lambda_ctrl	23863	5hmC	3652	3885	66	520
Lambda_ctrl	23871	5hmC	3643	3885	49	521
Lambda_ctrl	23877	5hmC	3643	3888	50	519
Lambda_ctrl	23885	5hmC	3592	3889	40	519
Lambda_ctrl	23893	5hmC	3618	3884	53	503
Lambda_ctrl	23896	5hmC	3591	3885	43	519
Lambda_ctrl	23900	5hmC	3163	3884	55	518
Lambda_ctrl	23901	5hmC	3360	3884	46	516
Lambda_ctrl	23902	5hmC	3503	3883	60	518
Lambda_ctrl	23916	5hmC	3689	3879	55	507
Lambda_ctrl	23923	5hmC	3718	3874	46	505
Lambda_ctrl	23925	5hmC	3683	3875	46	506
Lambda_ctrl	23927	5hmC	3648	3875	51	507
Lambda_ctrl	23928	5hmC	3731	3877	45	507
Lambda_ctrl	23943	5hmC	3649	3862	61	507
Lambda_ctrl	23947	5hmC	3566	3849	44	503
Lambda_ctrl	23954	5hmC	3422	3735	37	407
Lambda_ctrl	47359	5mC	4290	4389	5720	5841
Lambda_ctrl	47367	5mC	4390	4489	5775	5934
Lambda_ctrl	47377	5mC	4392	4491	5811	5937
Lambda_ctrl	47387	5mC	4396	4492	5826	5940
Lambda_ctrl	47392	5mC	4361	4493	5808	5941
Lambda_ctrl	47394	5mC	4373	4492	5816	5942
Lambda_ctrl	47398	5mC	4380	4494	5790	5946
Lambda_ctrl	47404	5mC	4347	4494	5819	5948
Lambda_ctrl	47409	5mC	4357	4495	5808	5950
Lambda_ctrl	47411	5mC	4364	4495	5798	5950
Lambda_ctrl	47413	5mC	4382	4495	5814	5950
Lambda_ctrl	47419	5mC	4374	4493	5790	5951
Lambda_ctrl	47428	5mC	4358	4495	5793	5950
Lambda_ctrl	47440	5mC	4389	4496	5839	5951
Lambda_ctrl	47443	5mC	4374	4494	5810	5950
Lambda_ctrl	47444	5mC	4350	4495	5797	5948
Lambda_ctrl	47449	5mC	4414	4493	5825	5953
Lambda_ctrl	47450	5mC	4397	4493	5840	5951
Lambda_ctrl	47461	5mC	4389	4493	5809	5950
Lambda_ctrl	47462	5mC	4406	4494	5801	5949
Lambda_ctrl	47465	5mC	4372	4493	5785	5947
Lambda_ctrl	47466	5mC	4369	4494	5800	5947
Lambda_ctrl	47475	5mC	4386	4493	5821	5946
Lambda_ctrl	47481	5mC	4366	4491	5787	5943
Lambda_ctrl	47483	5mC	4384	4489	5793	5945
Lambda_ctrl	47492	5mC	4365	4489	5826	5943
Lambda_ctrl	47498	5mC	4364	4488	5791	5942
Lambda_ctrl	47507	5mC	4369	4486	5778	5940
Lambda_ctrl	47512	5mC	4381	4482	5800	5936
Lambda_ctrl	47516	5mC	4365	4478	5763	5924
Lambda_ctrl	47521	5mC	4343	4481	5753	5928
Lambda_ctrl	47525	5mC	4336	4467	5784	5922
Lambda_ctrl	47526	5mC	4354	4466	5789	5923
Lambda_ctrl	47528	5mC	4304	4440	5771	5915
Lambda_ctrl	47529	5mC	4319	4429	5728	5890
