chromosome	position	control_type	bs_c	bs_total	oxbs_c	oxbs_total
Lambda_ctrl	22924	C	8	280	2	435
Lambda_ctrl	22928	C	10	278	0	435
Lambda_ctrl	22933	C	11	280	0	436
Lambda_ctrl	22938	C	9	280	2	437
Lambda_ctrl	22939	C	10	280	0	437
Lambda_ctrl	22944	C	9	280	4	437
Lambda_ctrl	22946	C	11	280	1	436
Lambda_ctrl	22953	C	10	280	1	437
Lambda_ctrl	22954	C	8	280	1	437
Lambda_ctrl	22963	C	10	280	0	437
Lambda_ctrl	22964	C	10	280	2	437
Lambda_ctrl	22970	C	11	280	0	437
Lambda_ctrl	22985	C	11	280	1	437
Lambda_ctrl	22987	C	10	281	2	436
Lambda_ctrl	22991	C	9	281	1	438
Lambda_ctrl	22994	C	10	281	2	438
Lambda_ctrl	22997	C	10	280	1	437
Lambda_ctrl	23002	C	11	280	1	437
Lambda_ctrl	23004	C	11	279	1	437
Lambda_ctrl	23005	C	11	279	3	437
Lambda_ctrl	23021	C	10	279	1	436
Lambda_ctrl	23024	C	11	277	2	436
Lambda_ctrl	23030	C	10	277	1	436
Lambda_ctrl	23033	C	10	277	1	436
Lambda_ctrl	23054	C	9	277	0	435
Lambda_ctrl	23075	C	9	264	1	419
Lambda_ctrl	23789	5hmC	2313	2416	30	177
Lambda_ctrl	23794	5hmC	2398	2502	32	210
Lambda_ctrl	23798	5hmC	2376	2525	36	213
Lambda_ctrl	23817	5hmC	2371	2536	32	217
Lambda_ctrl	23823	5hmC	2377	2537	33	217
Lambda_ctrl	23827	5hmC	2387	2540	34	217
Lambda_ctrl	23837	5hmC	2403	2541	35	217
Lambda_ctrl	23843	5hmC	2385	2542	46	217
Lambda_ctrl	23855	5hmC	2371	2542	40	217
Lambda_ctrl	23860	5hmC	2379	2541	40	217
Lambda_ctrl	23863	5hmC	2391	2542	38	217
Lambda_ctrl	23871	5hmC	2399	2542	36	218
Lambda_ctrl	23877	5hmC	2400	2541	41	218
Lambda_ctrl	23885	5hmC	2355	2541	31	218
Lambda_ctrl	23893	5hmC	2380	2538	33	211
Lambda_ctrl	23896	5hmC	2378	2541	41	217
Lambda_ctrl	23900	5hmC	2122	2540	35	216
Lambda_ctrl	23901	5hmC	2222	2539	31	216
Lambda_ctrl	23902	5hmC	2313	2540	38	215
Lambda_ctrl	23916	5hmC	2410	2537	41	214
Lambda_ctrl	23923	5hmC	2434	2535	35	213
Lambda_ctrl	23925	5hmC	2419	2533	32	214
Lambda_ctrl	23927	5hmC	2385	2532	41	214
Lambda_ctrl	23928	5hmC	2427	2532	35	213
Lambda_ctrl	23943	5hmC	2392	2528	33	210
Lambda_ctrl	23947	5hmC	2377	2516	35	210
Lambda_ctrl	23954	5hmC	2254	2445	27	152
Lambda_ctrl	47359	5mC	2536	2590	1916	1957
Lambda_ctrl	47367	5mC	2581	2648	1957	1998
Lambda_ctrl	47377	5mC	2585	2651	1966	2001
Lambda_ctrl	47387	5mC	2598	2651	1959	2001
Lambda_ctrl	47392	5mC	2599	2652	1956	2000
Lambda_ctrl	47394	5mC	2602	2653	1963	2000
Lambda_ctrl	47398	5mC	2580	2654	1947	2001
Lambda_ctrl	47404	5mC	2590	2654	1961	2001
Lambda_ctrl	47409	5mC	2585	2654	1963	2001
Lambda_ctrl	47411	5mC	2583	2654	1961	2000
Lambda_ctrl	47413	5mC	2588	2653	1944	1999
Lambda_ctrl	47419	5mC	2596	2654	1957	2002
Lambda_ctrl	47428	5mC	2595	2654	1951	2002
Lambda_ctrl	47440	5mC	2585	2651	1965	2003
Lambda_ctrl	47443	5mC	2599	2653	1972	2003
Lambda_ctrl	47444	5mC	2593	2654	1962	2003
Lambda_ctrl	47449	5mC	2595	2654	1962	2002
Lambda_ctrl	47450	5mC	2592	2653	1962	2003
Lambda_ctrl	47461	5mC	2598	2652	1963	2002
Lambda_ctrl	47462	5mC	2592	2653	1948	2003
Lambda_ctrl	47465	5mC	2592	2653	1950	2003
Lambda_ctrl	47466	5mC	2588	2652	1971	2003
Lambda_ctrl	47475	5mC	2596	2652	1962	2003
Lambda_ctrl	47481	5mC	2568	2652	1942	1999
Lambda_ctrl	47483	5mC	2575	2650	1946	2003
Lambda_ctrl	47492	5mC	2588	2649	1962	2003
Lambda_ctrl	47498	5mC	2581	2648	1966	2002
Lambda_ctrl	47507	5mC	2581	2639	1950	1997
Lambda_ctrl	47512	5mC	2565	2640	1938	1986
Lambda_ctrl	47516	5mC	2580	2647	1928	1995
Lambda_ctrl	47521	5mC	2563	2630	1942	1985
Lambda_ctrl	47525	5mC	2571	2624	1943	1987
Lambda_ctrl	47526	5mC	2569	2637	1949	1992
Lambda_ctrl	47528	5mC	2568	2630	1923	1984
Lambda_ctrl	47529	5mC	2566	2628	1929	1988
