chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	6314	20377	303	1483
chrX	7159186	15282	20161	721	1445
chrX	7159222	42369	54087	9076	17876
chrX	7159235	34336	54140	8771	17915
chrX	7161112	25900	28013	8576	9676
chrX	7161128	27485	28112	9630	9722
chrX	7161162	27161	28667	9026	10188
chrX	7161189	26980	28708	9711	10253
chrX	7161194	27639	28706	9848	10260
chrX	7161243	38491	45634	10671	13092
chrX	7161262	40167	45648	11618	13096
chrX	7161266	41453	45641	12073	13094
chrX	7161274	39056	45594	10646	13086
chrX	7161336	10723	16749	1285	2191
chrX	7161406	10767	16424	1207	2030
