chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	9058	13534	8029	21226
chrX	7159186	11690	13442	14419	21057
chrX	7159222	46722	53804	62343	78954
chrX	7159235	45768	53859	52692	78993
chrX	7161112	25602	26642	34118	35797
chrX	7161128	26249	26716	34867	35923
chrX	7161162	26095	27379	34350	36667
chrX	7161189	25568	27434	33814	36715
chrX	7161194	26083	27429	34909	36706
chrX	7161243	38759	40194	47238	52172
chrX	7161262	38487	40197	49415	52157
chrX	7161266	36837	40192	49223	52152
chrX	7161274	36362	40175	45741	52108
chrX	7161336	9887	12369	11468	15970
chrX	7161406	10048	11994	10920	15638
