chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	890	3505	644	4412
chrX	7159186	2580	3473	2891	4376
chrX	7159222	6351	8175	5837	9481
chrX	7159235	6088	8185	4666	9492
chrX	7161112	2044	2186	2754	3044
chrX	7161128	2146	2192	2945	3056
chrX	7161162	2124	2274	2865	3163
chrX	7161189	2182	2280	3002	3164
chrX	7161194	2119	2275	2951	3162
chrX	7161243	4676	5186	6183	7028
chrX	7161262	4780	5189	6203	7024
chrX	7161266	4769	5189	6363	7023
chrX	7161274	4585	5181	6040	7016
chrX	7161336	2063	2875	2423	3791
chrX	7161406	1973	2715	2075	3605
