chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	2673	6741	2958	15054
chrX	7159186	5428	6710	9222	14935
chrX	7159222	31110	38783	40144	61236
chrX	7159235	28440	38825	36450	61293
chrX	7161112	19941	21660	30770	33195
chrX	7161128	21252	21751	32634	33302
chrX	7161162	20423	22423	31013	33987
chrX	7161189	21499	22481	32728	34064
chrX	7161194	21917	22486	32460	34068
chrX	7161243	28857	31731	41010	47448
chrX	7161262	29383	31720	43901	47433
chrX	7161266	29335	31720	43651	47425
chrX	7161274	28012	31701	40139	47397
chrX	7161336	5921	8488	8565	13458
chrX	7161406	6377	8208	7729	13091
